cell,x,y,stem
lymphocyte,2609,513,0
lymphocyte,1739,1538,0
tumor,2391,4487,0
lymphocyte,4348,3077,0
lymphocyte,1522,2179,0
tumor,3261,2308,0
tumor,2826,4359,0
lymphocyte,217,1538,0
lymphocyte,3478,2179,0
lymphocyte,1087,3974,0
lymphocyte,0,2821,0
lymphocyte,1522,1282,0
tumor,3043,769,0
lymphocyte,2391,4231,0
lymphocyte,4130,3205,0
lymphocyte,3696,3077,0
tumor,4348,1795,0
lymphocyte,3261,1667,0
lymphocyte,4783,2949,0
lymphocyte,4565,3462,0
lymphocyte,4130,3462,0
tumor,217,1795,0
lymphocyte,4130,5000,0
lymphocyte,2826,897,0
lymphocyte,217,1667,0
lymphocyte,652,641,0
lymphocyte,1739,897,0
lymphocyte,1957,1154,0
lymphocyte,435,3077,0
lymphocyte,2174,1026,0
tumor,2826,2051,0
lymphocyte,3913,256,0
lymphocyte,870,4103,0
lymphocyte,2826,385,0
lymphocyte,4130,2051,0
lymphocyte,3696,3333,0
tumor,3261,897,0
lymphocyte,1304,256,0
tumor,3696,3974,0
tumor,2826,2692,0
tumor,5000,4103,0
lymphocyte,2826,3333,0
lymphocyte,4783,2564,0
tumor,2391,513,0
tumor,2826,1282,0
lymphocyte,1522,2308,0
tumor,0,3462,0
lymphocyte,1957,385,0
lymphocyte,870,2949,0
lymphocyte,870,2051,0
lymphocyte,1739,2436,0
lymphocyte,0,3077,0
lymphocyte,3696,2051,0
lymphocyte,870,3077,0
lymphocyte,1087,1667,0
tumor,2391,2436,0
tumor,0,2564,0
tumor,1957,3205,0
lymphocyte,3913,4231,0
lymphocyte,1087,3846,0
lymphocyte,3043,1538,0
tumor,2826,4615,0
lymphocyte,1304,1923,0
lymphocyte,870,3205,0
lymphocyte,0,2436,0
tumor,3696,385,0
lymphocyte,4348,2308,0
tumor,1522,3333,0
tumor,2826,4487,0
lymphocyte,870,2179,0
tumor,3478,1026,0
tumor,3696,2821,0
tumor,0,3333,0
lymphocyte,3696,4487,0
lymphocyte,217,385,0
lymphocyte,3696,3590,0
lymphocyte,2174,4872,0
lymphocyte,652,1923,0
lymphocyte,217,2692,0
lymphocyte,1304,1795,0
lymphocyte,4130,3333,0
lymphocyte,217,2949,0
lymphocyte,3696,256,0
lymphocyte,1304,4231,0
tumor,3043,4231,0
tumor,652,1795,0
lymphocyte,3913,4872,0
lymphocyte,870,2308,0
lymphocyte,1739,2179,0
lymphocyte,1304,3846,0
lymphocyte,2174,1154,0
lymphocyte,652,3333,0
tumor,4348,3846,0
lymphocyte,1522,1026,0
lymphocyte,0,641,0
lymphocyte,435,4231,0
lymphocyte,2174,641,0
lymphocyte,3043,4872,0
lymphocyte,652,2692,0
tumor,3913,2564,0
lymphocyte,217,2051,0
lymphocyte,0,3718,0
tumor,2609,4103,0
tumor,1957,4487,0
lymphocyte,4565,1795,0
lymphocyte,2391,2179,0
lymphocyte,1957,3718,0
lymphocyte,5000,3590,0
tumor,4565,385,0
lymphocyte,4348,1282,0
tumor,4130,1410,0
lymphocyte,4348,2949,0
lymphocyte,2174,2308,0
lymphocyte,870,256,0
lymphocyte,3261,3846,0
tumor,1087,3590,0
lymphocyte,1087,2179,0
lymphocyte,435,1026,0
lymphocyte,3913,2692,0
lymphocyte,4130,385,0
tumor,4565,897,0
lymphocyte,435,2564,0
tumor,2174,4103,0
lymphocyte,3696,1795,0
lymphocyte,3478,1795,0
lymphocyte,2391,128,0
lymphocyte,1522,4359,0
tumor,3696,2179,0
tumor,2609,641,0
lymphocyte,870,2692,0
lymphocyte,1087,1923,0
tumor,4565,1667,0
lymphocyte,1522,2692,0
lymphocyte,1087,1795,0
lymphocyte,1957,2821,0
lymphocyte,4348,1026,0
lymphocyte,2391,256,0
lymphocyte,3913,897,0
tumor,4348,4103,0
lymphocyte,1522,2949,0
lymphocyte,1522,4487,0
lymphocyte,652,385,0
lymphocyte,3478,2949,0
lymphocyte,3913,2308,0
lymphocyte,1087,2821,0
tumor,4130,2436,0
lymphocyte,435,1795,0
tumor,2609,1026,0
lymphocyte,2174,1923,0
tumor,2391,3846,0
lymphocyte,3261,2179,0
tumor,2826,2564,0
lymphocyte,4348,2821,0
tumor,3261,1154,0
tumor,3696,0,0
tumor,3913,4359,0
lymphocyte,3478,2051,0
lymphocyte,2609,3974,0
lymphocyte,5000,3333,0
lymphocyte,217,2564,0
tumor,652,1282,0
tumor,1304,1154,0
lymphocyte,217,641,0
lymphocyte,5000,4359,0
tumor,1957,3333,0
tumor,3261,2821,0
lymphocyte,4783,4744,0
lymphocyte,652,2308,0
lymphocyte,1739,2564,0
lymphocyte,652,4359,0
lymphocyte,3478,4872,0
tumor,4348,2051,0
tumor,1739,2821,0
lymphocyte,1522,4231,0
tumor,2174,4359,0
lymphocyte,4130,0,0
lymphocyte,4348,4615,0
tumor,1304,1410,0
lymphocyte,0,769,0
tumor,2609,3333,0
lymphocyte,4348,1667,0
lymphocyte,2826,1667,0
lymphocyte,4130,1026,0
lymphocyte,3261,4615,0
lymphocyte,1522,2051,0
lymphocyte,0,1410,0
lymphocyte,2609,1410,0
tumor,3913,3718,0
lymphocyte,3696,4744,0
lymphocyte,3913,3462,0
lymphocyte,3261,1538,0
tumor,4565,2692,0
lymphocyte,1087,2051,0
lymphocyte,3478,1667,0
tumor,4348,4487,0
lymphocyte,3043,1667,0
lymphocyte,652,256,0
lymphocyte,1739,256,0
lymphocyte,3478,3077,0
lymphocyte,2826,4744,0
lymphocyte,1522,3718,0
lymphocyte,1304,3077,0
tumor,4130,1538,0
tumor,2174,1282,0
tumor,4348,4359,0
lymphocyte,2826,1795,0
lymphocyte,2609,1538,0
tumor,3478,513,0
lymphocyte,217,4359,0
lymphocyte,1087,897,0
tumor,2174,513,0
lymphocyte,4565,1410,0
lymphocyte,4348,1923,0
lymphocyte,3478,385,0
lymphocyte,1739,1667,0
lymphocyte,1304,3462,0
lymphocyte,3261,2051,0
tumor,1739,2692,0
lymphocyte,2174,4615,0
lymphocyte,4130,4872,0
lymphocyte,0,1282,0
tumor,3261,1026,0
lymphocyte,1957,256,0
tumor,3043,1410,0
lymphocyte,4565,4872,0
lymphocyte,0,3590,0
tumor,2826,769,0
tumor,2609,2692,0
lymphocyte,4565,513,0
lymphocyte,435,2949,0
lymphocyte,1304,513,0
lymphocyte,3478,1410,0
lymphocyte,4783,3718,0
lymphocyte,435,3205,0
tumor,2609,4615,0
lymphocyte,2609,1667,0
lymphocyte,1739,2308,0
tumor,1304,3590,0
lymphocyte,1957,897,0
lymphocyte,4565,2564,0
lymphocyte,4565,2949,0
lymphocyte,2391,4744,0
lymphocyte,870,4231,0
tumor,3261,2564,0
lymphocyte,1739,2051,0
tumor,5000,4487,0
tumor,3696,1154,0
lymphocyte,1522,3205,0
lymphocyte,3261,3974,0
lymphocyte,2391,2051,0
lymphocyte,3043,256,0
tumor,2826,2949,0
lymphocyte,652,2179,0
tumor,3696,4359,0
tumor,4783,4103,0
lymphocyte,2826,3974,0
lymphocyte,0,513,0
tumor,435,3974,0
lymphocyte,3478,3974,0
lymphocyte,3478,1538,0
lymphocyte,435,1538,0
lymphocyte,3261,4744,0
lymphocyte,3043,4744,0
lymphocyte,4130,4744,0
lymphocyte,435,2179,0
lymphocyte,3696,769,0
lymphocyte,3696,1923,0
tumor,4783,2692,0
lymphocyte,3913,4615,0
tumor,4130,3718,0
lymphocyte,3261,1795,0
lymphocyte,1304,2821,0
tumor,3478,1282,0
lymphocyte,2174,1410,0
lymphocyte,3043,4487,0
tumor,3696,1667,0
lymphocyte,1957,2179,0
lymphocyte,0,1538,0
lymphocyte,4348,385,0
tumor,3478,3205,0
lymphocyte,217,3462,0
tumor,652,2051,0
tumor,3043,1154,0
lymphocyte,4565,641,0
lymphocyte,3913,3077,0
lymphocyte,1087,4103,0
lymphocyte,2391,1282,0
tumor,4565,1282,0
lymphocyte,217,2308,0
lymphocyte,1957,2564,0
lymphocyte,3261,4872,0
tumor,3478,4615,0
lymphocyte,4783,4487,0
tumor,1739,4103,0
lymphocyte,870,641,0
lymphocyte,1522,2436,0
lymphocyte,3913,1923,0
tumor,4130,2308,0
tumor,217,4103,0
lymphocyte,217,769,0
tumor,2391,2308,0
lymphocyte,4348,3718,0
lymphocyte,652,2949,0
tumor,2826,1410,0
lymphocyte,2174,1795,0
tumor,3261,2692,0
lymphocyte,1957,2308,0
lymphocyte,870,1667,0
lymphocyte,2826,513,0
tumor,870,1154,0
tumor,3478,128,0
tumor,3913,2821,0
lymphocyte,4130,897,0
tumor,3913,1282,0
lymphocyte,1304,1282,0
tumor,4565,4231,0
lymphocyte,4348,3333,0
lymphocyte,4130,256,0
lymphocyte,652,1667,0
tumor,1304,3718,0
lymphocyte,3696,3205,0
tumor,217,3333,0
lymphocyte,4565,2821,0
lymphocyte,4130,2564,0
lymphocyte,4348,3462,0
lymphocyte,4783,3462,0
lymphocyte,4565,3077,0
lymphocyte,5000,3974,0
lymphocyte,2174,4487,0
lymphocyte,217,1410,0
lymphocyte,4565,1923,0
lymphocyte,4565,3974,0
lymphocyte,1957,1410,0
lymphocyte,217,3077,0
tumor,2609,2949,0
lymphocyte,435,385,0
tumor,1739,4231,0
tumor,3261,2949,0
lymphocyte,1304,2051,0
tumor,4130,4487,0
lymphocyte,435,3462,0
lymphocyte,652,3846,0
lymphocyte,4783,2821,0
tumor,4348,0,0
lymphocyte,2174,4744,0
lymphocyte,435,2821,0
lymphocyte,4348,769,0
lymphocyte,0,1667,0
lymphocyte,3478,5000,0
lymphocyte,3043,1795,0
lymphocyte,4565,3718,0
tumor,2391,1154,0
lymphocyte,435,897,0
tumor,217,1282,0
lymphocyte,3478,769,0
tumor,1304,897,0
lymphocyte,2609,385,0
lymphocyte,4565,769,0
lymphocyte,3043,3333,0
lymphocyte,3913,4744,0
lymphocyte,1522,1154,0
lymphocyte,1957,2436,0
tumor,3913,1667,0
tumor,435,3590,0
lymphocyte,1087,385,0
lymphocyte,4348,1410,0
lymphocyte,1304,3974,0
tumor,2391,3462,0
lymphocyte,1957,1538,0
lymphocyte,1087,3205,0
lymphocyte,1957,2051,0
lymphocyte,4565,4103,0
tumor,2826,1538,0
lymphocyte,1957,1026,0
tumor,217,2179,0
lymphocyte,2174,1667,0
lymphocyte,2174,1538,0
