file,filled_ratio,n_tumor,n_lymph,immune subtype
TCGA-DA-A3F3-06A-01-TSA_patch=1,0.92159583,8377,775,D
TCGA-DA-A3F3-06A-01-TSA_patch=2,0.83135,7663,611,D
TCGA-DA-A3F3-06A-01-TSA_patch=3,0.93401944,9153,167,D
TCGA-DA-A3F5-06A-01-TSA_patch=1,0.92659931,938,8315,D
TCGA-DA-A3F5-06A-01-TSA_patch=2,0.94043333,208,9188,D
TCGA-DA-A3F5-06A-01-TSA_patch=3,0.89961597,583,8429,D
TCGA-DA-A95W-06A-01-TSA_patch=1,0.969975,3775,5885,D
TCGA-DA-A95W-06A-01-TSA_patch=2,0.91387986,3220,5812,D
TCGA-DA-A95Z-06A-01-TSA_patch=1,0.93529236,8745,594,D
TCGA-DA-A95Z-06A-01-TSA_patch=2,0.8669375,7422,1252,D
TCGA-EB-A24D-01A-01-TSA_patch=1,0.81651806,5296,2810,D
TCGA-EB-A24D-01A-01-TSA_patch=2,0.86209792,3546,4988,D
TCGA-EB-A41B-01A-01-TSA_patch=1,0.85317986,3199,5346,IE
TCGA-EB-A41B-01A-01-TSA_patch=2,0.854375,4148,4402,IE
TCGA-EB-A41B-01A-01-TSA_patch=3,0.81775764,4158,4019,IE
TCGA-EB-A42Y-01A-01-TSA_patch=1,0.81678333,3641,4523,D
TCGA-EB-A42Y-01A-01-TSA_patch=2,0.80086111,2044,5892,D
TCGA-EB-A431-01A-01-TSA_patch=1,0.80902986,6801,1274,D
TCGA-EB-A431-01A-01-TSA_patch=2,0.96108889,9002,576,D
TCGA-EB-A44O-01A-01-TSA_patch=1,0.92215625,6593,2611,D
TCGA-EB-A44Q-06A-01-TSA_patch=1,0.81625208,207,7917,IE
TCGA-EB-A44Q-06A-01-TSA_patch=2,0.99705556,1262,8671,IE
TCGA-EB-A44R-06A-04-TSD_patch=1,0.95943472,2989,6485,IE
TCGA-EB-A4OZ-01A-01-TSA_patch=1,0.88944514,1197,7688,IE
TCGA-EB-A51B-01A-01-TSA_patch=1,0.82302153,1309,6869,IE
TCGA-EB-A51B-01A-01-TSA_patch=2,0.92195278,1036,8152,IE
TCGA-EB-A51B-01A-01-TSA_patch=3,0.80922986,1011,7043,IE
TCGA-EB-A51B-01A-01-TSA_patch=4,0.949875,1868,7560,IE
TCGA-EB-A551-01A-02-TSB_patch=1,0.80931181,6533,1538,IE
TCGA-EB-A551-01A-02-TSB_patch=2,1,7738,2262,IE
