sample,area (training),area (reconstruction),perimeter (training),perimeter (reconstruction),complexity (training),complexity (reconstruction)
0,763.0,590.0,108.42640602588654,94.42640626430511,1.226127754583892,1.2026106542773731
1,482.5,348.0,85.01219260692596,71.5979791879654,1.1919423573277819,1.172228892822695
2,720.5,509.5,103.49747359752655,84.87005698680878,1.1830841829545624,1.1250062500608733
3,720.5,520.0,107.49747359752655,87.45584344863892,1.2762996966631153,1.1704812404033356
4,413.0,273.0,81.11269772052765,60.28427076339722,1.2677037526675317,1.0593403444709437
5,662.5,452.5,98.32590115070343,82.1837660074234,1.1612884967937642,1.187800844232113
6,477.0,303.5,85.25483345985413,68.66904711723328,1.2125782601591206,1.2363843025280676
7,751.0,591.5,106.42640602588654,93.84061968326569,1.2001872032919787,1.1847238216080742
8,272.0,139.0,65.59797894954681,48.284271001815796,1.2589316447421768,1.3347093207419856
9,155.0,47.0,49.455843448638916,27.656854152679443,1.2557224645900207,1.2950836988727956
10,610.5,439.5,99.15432739257812,79.01219320297241,1.2815271559131376,1.130367053066816
11,492.0,323.0,84.76955199241638,68.28427135944366,1.1622640612256498,1.1487591212343304
12,307.5,169.5,69.3553386926651,51.21320331096649,1.2448149908150474,1.2313579418222174
13,644.0,447.0,102.42640614509583,81.94112503528595,1.2963675105314003,1.1953262521146986
14,724.0,513.0,104.42640590667725,86.6274163722992,1.1985943651770086,1.1640817879019798
15,608.0,437.0,97.5979790687561,78.4264063835144,1.2467179333843676,1.1200394763878592
16,648.0,454.0,100.08326005935669,79.59797978401184,1.2300931977010525,1.1105506582763065
17,723.5,535.0,104.66904652118683,89.94112479686737,1.2050030232367182,1.2032420003670372
18,243.0,109.0,61.11269760131836,40.97056233882904,1.2230572078838688,1.225483555117719
19,265.0,175.5,64.28427064418793,50.870057225227356,1.2409483437599742,1.1733767201447876
20,545.5,376.0,91.49747359752655,75.5979790687561,1.221275335425385,1.2095467607057258
21,719.5,488.5,105.98275518417358,83.69848430156708,1.2423093350953045,1.141197350647693
22,610.5,447.0,96.66904652118683,81.59797954559326,1.218089887551526,1.1853358602524824
23,5.0,182.0,10.828427076339722,52.284270882606506,1.866168626502612,1.1952558008242058
24,387.0,228.5,76.42640590667725,58.72792160511017,1.2010637074363368,1.201138794921031
25,496.0,307.5,87.74011445045471,66.52691113948822,1.2351077665469679,1.145353994773753
26,122.0,57.0,46.14213538169861,29.313708305358887,1.388755153175276,1.1996562038083831
27,192.5,64.5,57.35533893108368,30.727921843528748,1.359900404995415,1.1649218745798444
28,394.0,257.0,75.5979791879654,60.284271121025085,1.1542882828925238,1.125291507672539
29,281.0,174.0,67.11269783973694,50.284270882606506,1.275537439472025,1.1563923294387604
30,571.5,391.0,93.01219236850739,74.76955223083496,1.2046299693298024,1.137792163381067
31,533.0,351.0,95.59797894954681,74.76955270767212,1.3644585552738822,1.2674551041490958
32,698.0,474.5,102.91168737411499,84.87005722522736,1.2074359756413415,1.207988804270709
33,731.5,532.0,105.84061968326569,89.94112479686737,1.2186543789590873,1.2100271996172274
34,350.0,228.0,73.94112491607666,57.11269783973694,1.243066030675229,1.1384675069823018
35,715.0,516.0,104.08326029777527,86.62741684913635,1.2057183466311903,1.1573138832712329
36,541.0,402.0,91.25483334064484,74.91168820858002,1.2249112501772133,1.1108700340998354
37,439.5,276.5,79.84062004089355,65.21320307254791,1.1541946545005521,1.2239567287756665
38,570.5,390.0,95.01219248771667,75.5979790687561,1.2591955118796365,1.166127133398341
39,501.5,360.0,85.0121922492981,73.25483334064484,1.1467840131045068,1.1862062405481286
40,701.0,499.5,103.5979790687561,86.04163002967834,1.2183573427971195,1.1794292717050805
41,166.5,65.0,52.52691102027893,32.97056245803833,1.3186806139853897,1.330851171884306
42,481.0,338.0,86.7695517539978,76.42640602588654,1.2456033496117398,1.3751824148753886
43,532.5,381.5,88.52691113948822,75.49747395515442,1.1711732549555567,1.188941361027599
44,327.0,183.5,71.94112491607666,52.38477611541748,1.2594961148812724,1.1900473776328353
45,212.5,104.0,57.6984840631485,40.28427076339722,1.2466943963003392,1.2417318173581622
46,398.0,220.0,77.94112467765808,56.97056233882904,1.2146199232065986,1.1740010022875569
47,532.5,365.0,91.69848430156708,75.59797871112823,1.256593585009369,1.2459988430752023
48,438.5,273.5,82.18376529216766,62.041629910469055,1.225723768892862,1.119951466575051
49,344.0,194.0,71.11269760131836,51.455843806266785,1.169838743487428,1.0860699934313036
50,457.5,347.0,83.01219308376312,71.59797871112823,1.1986235677459478,1.1756070584111131
51,394.0,263.0,76.28427064418793,60.28427064418793,1.1753410665785948,1.0996194406722792
52,485.5,331.0,85.8406195640564,72.42640614509583,1.207776537895566,1.2611188396968949
53,573.5,414.5,92.66904664039612,77.01219308376312,1.1915879533771914,1.1386351411878086
54,541.0,368.5,89.59797894954681,76.18376541137695,1.1808352191130154,1.2533648525147183
55,397.5,252.0,78.18376576900482,59.11269748210907,1.2237315929184607,1.103446168502276
56,208.5,112.5,56.5269113779068,41.69848430156708,1.2195358998926484,1.2299236475636428
57,369.5,201.0,76.66904652118683,52.28427076339722,1.2659478565955085,1.0822714167066128
58,730.5,541.0,111.49747371673584,92.28427064418793,1.354253511673745,1.2527033511989807
59,644.5,489.5,97.84061932563782,83.69848418235779,1.1819676778876467,1.1388659942868389
60,421.5,258.5,79.0121921300888,62.041629910469055,1.178638923680095,1.1849389791422686
61,582.5,385.5,92.66904664039612,75.84061920642853,1.1731771523808054,1.1873246764442877
62,785.5,583.5,106.6690468788147,94.66904664039612,1.1527118975868733,1.222264738366526
63,697.0,493.0,103.25483310222626,85.4558435678482,1.2172453830942922,1.1787636854827723
64,499.0,335.0,87.25483310222626,72.62741661071777,1.2141394616250836,1.2529868747807997
65,202.0,79.5,55.11269760131836,34.38477599620819,1.1965810051378913,1.1834649662463095
66,128.0,48.0,47.11269783973694,32.14213526248932,1.379927007824063,1.7127672389413748
67,674.0,516.0,99.74011409282684,87.59797871112823,1.174545812314158,1.1833919333733498
68,419.5,236.0,80.18376553058624,59.79898965358734,1.219638332805748,1.205773752081271
69,743.5,574.5,107.01219272613525,92.66904652118683,1.2256760195717618,1.1895138198496653
70,493.5,295.0,89.15432798862457,65.94112610816956,1.281704297795884,1.1729536176297046
71,479.5,296.0,84.18376541137695,67.11269819736481,1.1761378292371354,1.2108987307823509
72,509.0,353.0,88.9116872549057,73.94112491607666,1.2359191380520795,1.2325017301312466
73,350.0,209.5,73.59797871112823,54.041630029678345,1.2315551531696252,1.1093356978076478
74,326.0,191.0,71.59797966480255,52.28427064418793,1.2513363807850904,1.1389348364714813
75,378.0,239.0,86.76955199241638,62.627416372299194,1.5850137948565093,1.3059339926938607
76,729.5,495.0,109.49747347831726,86.62741672992706,1.307895473393234,1.2064120446957496
77,356.5,191.5,73.35533893108368,54.04163086414337,1.2011411835480166,1.2136074980048552
78,767.5,529.0,111.1543276309967,87.59797954559326,1.28104534828295,1.1543104900840624
79,476.0,327.5,86.7695517539978,70.04162991046906,1.2586874184101826,1.1920413462871762
80,625.0,432.5,97.25483322143555,79.01219320297241,1.2042939525111669,1.1486620111511343
81,639.0,452.0,95.25483357906342,80.76955199241638,1.1299606584254496,1.1485424441916834
82,535.0,380.5,89.25483310222626,77.01219260692596,1.1849494901511322,1.2403791331874248
83,225.5,96.5,59.35533833503723,37.899494767189026,1.2432634307065094,1.184485268116943
84,265.0,136.0,64.42640662193298,46.28427040576935,1.2464420174377768,1.2534819137615114
85,232.5,121.0,60.3847758769989,42.14213538169861,1.2480215835504658,1.1679865496600639
86,362.5,221.0,77.35533833503723,56.97056233882904,1.3135986850031443,1.168688780557749
87,401.5,209.0,77.84061920642853,54.62741661071777,1.2009284969443665,1.1362271837121147
88,281.5,169.5,69.84061920642853,53.21320295333862,1.3788845298110395,1.3294108962434732
89,359.5,212.5,74.52691149711609,55.213202714920044,1.2294687339796637,1.1416082036701756
90,606.0,420.0,96.08326005935669,77.25483417510986,1.212308002340304,1.1308165993532457
91,708.5,502.0,105.982754945755,83.11269772052765,1.2615971243182829,1.0950177954529
92,735.0,586.0,107.74011421203613,93.25483334064484,1.2567753675948206,1.1809600884751497
93,671.0,511.0,105.2548326253891,87.59797883033752,1.3138679107119344,1.1949711140560133
94,590.0,433.0,93.25483310222626,77.25483465194702,1.1729535734031131,1.0968659990561411
95,127.0,41.5,48.28427076339722,28.38477599620819,1.4608235728422472,1.5449448527906318
96,184.5,85.0,58.870057225227356,35.313708424568176,1.4947985965661301,1.1675026203016579
